Date,Open,High,Low,Close,Volume,,,,,
41717.00,603.64,603.73,594.97,1195.97,3237800.00,,,,,
41718.00,597.73,602.55,595.45,1193.88,3381900.00,,,,,
41719.00,600.90,602.56,589.02,1179.80,6441000.00,,,,,
41722.00,589.88,590.24,570.84,1154.76,6096800.00,,,,,
41723.00,580.82,582.74,571.36,1155.55,4838400.00,,,,,
41724.00,578.84,583.60,563.64,1128.87,5179200.00,,,,,
41725.00,566.44,566.44,551.41,556.93,13100.00,,,,,
41726.00,559.66,564.88,557.14,558.46,41200.00,,,,,
41729.00,565.34,565.45,555.41,555.45,10800.00,,,,,
41730.00,557.18,566.89,557.18,565.61,7900.00,,,,,
41731.00,598.35,603.17,560.65,565.45,147100.00,,,,,
41732.00,568.29,585.67,562.59,568.18,5099100.00,,,,,
41733.00,573.08,576.19,541.51,541.65,6369300.00,,,,,
41736.00,539.26,546.98,525.71,536.68,4401600.00,,,,,
41737.00,541.11,553.48,540.13,553.38,3151200.00,,,,,
41738.00,558.09,563.82,551.44,562.60,3330800.00,,,,,
41739.00,563.45,563.45,538.42,539.47,4036800.00,,,,,
41740.00,531.09,538.52,525.09,529.15,3924800.00,,,,,
41743.00,536.78,542.61,528.11,531.06,2575000.00,,,,,
41744.00,535.35,536.98,517.04,534.97,3855000.00,,,,,
41745.00,541.51,555.47,538.52,555.02,4893200.00,,,,,
41746.00,547.31,548.00,529.70,534.63,6809500.00,,,,,
41750.00,534.63,535.23,524.16,527.17,2566700.00,,,,,
41751.00,527.19,535.76,526.07,533.35,2365300.00,,,,,
41752.00,532.33,532.41,524.81,525.50,2052300.00,,,,,
41753.00,528.62,530.19,520.69,523.72,1883100.00,,,,,
41754.00,521.08,523.26,514.01,514.77,2100300.00,,,,,
41757.00,515.76,517.18,501.42,515.73,3335500.00,,,,,
41758.00,515.48,528.01,514.91,526.26,2699000.00,,,,,
41759.00,526.16,526.55,521.09,525.22,1751100.00,,,,,
41760.00,525.67,531.47,522.45,529.90,1905500.00,,,,,
41761.00,532.30,532.54,524.17,526.48,1688500.00,,,,,
41764.00,523.38,527.45,519.89,526.36,1024100.00,,,,,
41765.00,523.79,525.37,513.65,513.73,1689000.00,,,,,
41766.00,514.38,515.27,501.92,508.56,3224300.00,,,,,
41767.00,507.07,515.81,505.06,509.60,2021300.00,,,,,
41768.00,509.35,518.48,502.82,517.31,2439400.00,,,,,
41771.00,522.08,528.74,517.59,528.47,1912500.00,,,,,
41772.00,529.44,534.60,528.06,531.63,1653400.00,,,,,
41773.00,531.54,531.54,523.85,525.21,1191700.00,,,,,
41774.00,524.26,524.43,516.00,518.56,1704300.00,,,,,
41775.00,519.96,520.37,514.03,519.20,1485200.00,,,,,
41778.00,518.28,528.33,516.17,527.41,1277700.00,,,,,
41779.00,528.29,534.76,524.86,528.32,1784700.00,,,,,
41780.00,531.44,537.71,530.45,537.46,1196200.00,,,,,
41781.00,539.65,546.10,539.30,543.57,1615800.00,,,,,
41782.00,545.76,552.12,542.21,551.19,1932100.00,,,,,
41786.00,554.48,564.45,552.83,564.40,2104100.00,,,,,
41787.00,563.02,566.29,559.46,560.14,1652000.00,,,,,
41788.00,561.81,562.46,557.18,558.55,1354100.00,,,,,
41789.00,559.26,559.81,554.39,558.36,1771100.00,,,,,
41792.00,559.16,559.36,544.24,552.41,1435000.00,,,,,
41793.00,549.48,550.83,541.06,543.45,1866600.00,,,,,
41794.00,540.02,547.11,537.27,543.17,1816400.00,,,,,
41795.00,544.90,553.43,542.96,552.38,1689100.00,,,,,
41796.00,556.53,556.53,547.43,554.81,1736700.00,,,,,
41799.00,555.62,561.36,554.52,560.58,1467500.00,,,,,
41800.00,558.98,562.06,556.37,559.02,1351700.00,,,,,
41801.00,556.47,558.35,553.50,557.31,1100100.00,,,,,
41802.00,555.77,556.46,546.96,549.84,1458400.00,,,,,
41803.00,550.75,550.79,544.07,550.25,1220500.00,,,,,
41806.00,547.76,548.12,540.04,542.79,1702500.00,,,,,
41807.00,542.71,543.83,537.85,541.52,1444500.00,,,,,
41808.00,543.37,552.04,542.51,551.85,1741700.00,,,,,
41809.00,552.72,553.48,547.01,553.38,2456800.00,,,,,
41810.00,555.33,556.05,548.89,554.84,4508300.00,,,,,
41813.00,553.63,563.45,552.73,563.40,1536800.00,,,,,
41814.00,563.64,571.08,559.47,563.07,2207100.00,,,,,
41815.00,563.71,578.37,563.67,577.07,1969300.00,,,,,
41816.00,579.41,580.86,570.28,574.42,1741900.00,,,,,
41817.00,575.60,578.28,572.23,575.66,2236900.00,,,,,
41820.00,577.08,577.98,573.18,573.70,1313700.00,,,,,
41821.00,576.74,582.80,575.07,581.07,1447900.00,,,,,
41822.00,581.75,583.84,578.80,580.74,1056300.00,,,,,
41823.00,581.75,583.41,579.33,583.13,714100.00,,,,,
41827.00,582.16,584.82,578.00,580.66,1064600.00,,,,,
41828.00,576.08,577.94,564.58,569.53,1909500.00,,,,,
41829.00,570.02,575.14,567.82,574.50,1116700.00,,,,,
41830.00,564.36,575.01,563.46,569.54,1356700.00,,,,,
41831.00,570.34,579.26,569.86,577.59,1621700.00,,,,,
41834.00,581.00,583.61,576.45,583.27,1854000.00,,,,,
41835.00,584.14,584.20,574.98,583.18,1623000.00,,,,,
41836.00,586.39,586.79,580.61,581.06,1397100.00,,,,,
41837.00,577.94,579.40,567.05,572.16,3016500.00,,,,,
41838.00,591.38,595.17,580.41,593.45,4014100.00,,,,,
41841.00,590.13,592.77,583.63,587.86,2062100.00,,,,,
41842.00,589.10,598.01,588.98,593.11,1699100.00,,,,,
41843.00,591.61,596.21,590.88,594.35,1233100.00,,,,,
41844.00,594.82,597.86,590.15,591.73,1035100.00,,,,,
41845.00,588.78,590.24,585.42,587.41,932400.00,,,,,
41848.00,586.46,590.88,583.15,588.98,986800.00,,,,,
41849.00,587.14,588.09,581.92,584.01,1349800.00,,,,,
41850.00,584.94,587.89,582.40,585.81,1016400.00,,,,,
41851.00,579.01,582.05,568.44,570.03,2102700.00,,,,,
41852.00,568.84,574.38,561.31,564.52,1955200.00,,,,,
41855.00,567.48,573.77,562.56,571.58,1427300.00,,,,,
41856.00,568.49,570.41,561.07,563.52,1551200.00,,,,,
41857.00,560.24,569.14,558.47,564.82,1334300.00,,,,,
41858.00,566.44,568.33,559.56,561.82,1110900.00,,,,,
41859.00,562.02,568.69,558.82,567.21,1494700.00,,,,,
41862.00,568.43,568.93,564.45,566.33,1214700.00,,,,,
41863.00,562.97,564.35,559.34,561.19,1542000.00,,,,,
41864.00,565.76,573.43,564.20,573.21,1439200.00,,,,,
41865.00,574.60,576.32,569.32,573.08,985400.00,,,,,
41866.00,576.28,577.79,568.96,571.91,1519100.00,,,,,
